008.812083| -3.592778| 142| | 5.20
008.886667| -0.505556| 143| | 5.93
009.034583|+54.168611| 144| | 5.08
008.977917|+13.206667| 145| | 6.41
009.113750|+60.326111| 146| | 5.79
008.921250|-48.000833| 147| | 5.51
008.889167|-54.821944| 148| | 6.06
009.083333|+27.254722| 149| | 6.50
009.012500|-14.973611| 150| | 6.45
009.028750|-22.842500| 151| | 6.06
009.194167|+44.488611| 152| | 5.13
009.242917|+53.896944| 153| | 3.66
009.220417|+33.719444| 154| | 4.36
009.197083|+15.231667| 155| | 5.89
009.280000|+24.014167| 156| | 6.47
009.337917|+35.399444| 157| | 5.48
009.947083|+82.493889| 158| | 6.40
009.336250|-24.767222| 159| | 5.57
009.155833|-65.124722| 160| | 6.42
009.377083| +3.135278| 161| | 6.39
009.325417|-54.394167| 162| | 6.41
009.638750|+29.311667| 163| | 4.37
009.791250|+49.354444| 164| | 5.43
009.832083|+30.860833| 165| | 3.27
009.840833|+21.250556| 166|W| 5.87
009.981667|+21.438333| 167| | 5.36
010.127083|+56.537222| 168| | 2.23
009.670000|-73.137222| 169| | 6.85
009.991250|-33.961667| 170| | 6.69
009.966667|-44.796667| 171| | 6.01
010.119167|-16.516944| 172|W| 6.49
010.137083|-23.804444| 173| | 6.14
010.176667| -4.351944| 174|W| 5.91
010.280000|+39.458611| 175| | 5.33
010.110000|-59.454444| 176| | 5.89
010.514167|+66.147500| 177| | 5.83
010.400000|+24.629167| 178|W| 6.04
010.516250|+50.512500| 179| | 4.80
010.331667|-46.085000| 180| | 4.59
010.629583|+58.753333| 181| | 6.17
010.443333|-56.501667| 183|W| 5.70
010.867083|+47.024722| 184| | 4.94
010.678750|-38.463333| 185|W| 6.06
010.674167|-60.262500| 186| | 5.98
010.618333|-65.468056| 187| | 5.39
010.897500|-17.986667| 188| | 2.04
011.110000|+47.864167| 189| | 5.67
010.959167|-12.011667| 190| | 6.02
010.838333|-57.463056| 191|W| 4.36
011.412500|+74.988056| 192| | 5.66
011.181250|+48.284444| 193| | 4.54
011.047500|-10.609444| 194| | 4.76
011.050417|-38.421667| 195| | 5.90
011.321667|+55.221667| 196| | 5.42
011.185000|-22.006111| 197| | 5.24
011.237917|-42.676667| 198| | 5.94
011.134583|-62.497778| 199|W| 6.07
011.662500|+69.325000| 200| | 6.33
011.350417| -4.629167| 201| | 6.15
011.250000|-53.715000| 202| | 6.15
011.369583|-12.880833| 203|W| 6.15
011.562917|+55.305278| 204| | 6.52
011.545417|+44.861389| 205| | 6.05
011.423750|-16.424167| 206| | 6.47
011.676667|+59.574444| 207| | 6.39
011.942083|+74.847500| 208| | 5.41
011.440000|-47.551667| 209|W| 5.80
011.549167|-22.521944| 210| | 5.50
011.637500|+15.475556| 211| | 5.38
012.037917|+72.675000| 212| | 5.87
011.756250|+11.973889| 213| | 5.50
011.806667|+19.578889| 214| | 6.13
011.834583|+24.267222| 215|W| 4.06
011.848333| +6.740833| 216| | 5.99
011.978333|+20.925278| 217| | 6.54
011.930417|-18.061389| 218| | 5.70
012.275000|+57.815833| 219| | 3.44
012.004583|-21.722500| 220| | 5.57
